# Frequency(cm-1)   Transmittance
1553.724362   0.944460
1556.920960   0.937008
1560.117559   0.929087
1563.314157   0.920745
1566.510755   0.911967
1569.707354   0.902817
1572.903952   0.893302
1576.100550   0.883453
1579.297149   0.873325
1582.493747   0.862917
1585.690345   0.852300
1588.886943   0.841486
1592.083542   0.830513
1595.280140   0.819436
1598.476738   0.808257
1601.673337   0.797044
1604.869935   0.785810
1608.066533   0.774587
1611.263132   0.763425
1614.459730   0.752321
1617.656328   0.741336
1620.852926   0.730473
1624.049525   0.719760
1627.246123   0.709234
1630.442721   0.698886
1633.639320   0.688767
1636.835918   0.678870
1640.032516   0.669216
1643.229115   0.659830
1646.425713   0.650700
1649.622311   0.641863
1652.818909   0.633308
1656.015508   0.625047
1659.212106   0.617099
1662.408704   0.609446
1665.605303   0.602117
1668.801901   0.595099
1671.998499   0.588397
1675.195098   0.582026
1678.391696   0.575964
1681.588294   0.570238
1684.784892   0.564830
1687.981491   0.559745
1691.178089   0.554992
1694.374687   0.550551
1697.571286   0.546446
1700.767884   0.542657
1703.964482   0.539189
1707.161081   0.536050
1710.357679   0.533222
1713.554277   0.530724
1716.750875   0.528541
1719.947474   0.526676
1723.144072   0.525138
1726.340670   0.523908
1729.537269   0.523008
1732.733867   0.522422
1735.930465   0.522156
1739.127064   0.522217
1742.323662   0.522589
1745.520260   0.523294
1748.716858   0.524318
1751.913457   0.525667
1755.110055   0.527350
1758.306653   0.529352
1761.503252   0.531696
1764.699850   0.534368
1767.896448   0.537375
1771.093047   0.540728
1774.289645   0.544411
1777.486243   0.548448
1780.682841   0.552825
1783.879440   0.557550
1787.076038   0.562633
1790.272636   0.568058
1793.469235   0.573848
1796.665833   0.579988
1799.862431   0.586485
1803.059030   0.593345
1806.255628   0.600552
1809.452226   0.608125
1812.648824   0.616047
1815.845423   0.624318
1819.042021   0.632943
1822.238619   0.641898
1825.435218   0.651197
1828.631816   0.660815
1831.828414   0.670748
1835.025013   0.680989
1838.221611   0.691507
1841.418209   0.702306
1844.614807   0.713350
1847.811406   0.724623
1851.008004   0.736108
1854.204602   0.747760
1857.401201   0.759571
1860.597799   0.771491
1863.794397   0.783492
1866.990995   0.795543
1870.187594   0.807587
1873.384192   0.819604
1876.580790   0.831531
1879.777389   0.843332
1882.973987   0.854966
1886.170585   0.866371
1889.367184   0.877520
1892.563782   0.888349
1895.760380   0.898823
1898.956978   0.908902
1902.153577   0.918532
1905.350175   0.927695
1908.546773   0.936339
1911.743372   0.944446
1914.939970   0.951992
1918.136568   0.958945
1921.333167   0.965312
1924.529765   0.971064
1927.726363   0.976211
1930.922961   0.980757
1934.119560   0.984699
1937.316158   0.988071
1940.512756   0.990873
1943.709355   0.993144
1946.905953   0.994910
1950.102551   0.996195
1953.299150   0.997052
1956.495748   0.997501
1959.692346   0.997597
1962.888944   0.997379
1966.085543   0.996881
1969.282141   0.996164
1972.478739   0.995252
1975.675338   0.994203
1978.871936   0.993053
1982.068534   0.991835
1985.265133   0.990604
1988.461731   0.989376
1991.658329   0.988199
1994.854927   0.987100
1998.051526   0.986098
2001.248124   0.985235
2004.444722   0.984513
2007.641321   0.983964
2010.837919   0.983595
2014.034517   0.983414
2017.231116   0.983439
2020.427714   0.983654
2023.624312   0.984073
2026.820910   0.984681
2030.017509   0.985464
2033.214107   0.986417
2036.410705   0.987503
2039.607304   0.988709
2042.803902   0.989997
2046.000500   0.991325
2049.197099   0.992663
2052.393697   0.993945
2055.590295   0.995134
2058.786893   0.996158
2061.983492   0.996953
2065.180090   0.997460
2068.376688   0.997587
2071.573287   0.997273
2074.769885   0.996427
2077.966483   0.994968
2081.163082   0.992822
2084.359680   0.989892
2087.556278   0.986116
2090.752876   0.981408
2093.949475   0.975704
2097.146073   0.968951
2100.342671   0.961087
2103.539270   0.952091
2106.735868   0.941927
2109.932466   0.930591
2113.129065   0.918096
2116.325663   0.904452
2119.522261   0.889715
2122.718859   0.873926
2125.915458   0.857161
2129.112056   0.839504
2132.308654   0.821039
2135.505253   0.801883
2138.701851   0.782131
2141.898449   0.761904
2145.095048   0.741319
2148.291646   0.720480
2151.488244   0.699513
2154.684842   0.678513
2157.881441   0.657589
2161.078039   0.636833
2164.274637   0.616325
2167.471236   0.596153
2170.667834   0.576373
2173.864432   0.557049
2177.061031   0.538230
2180.257629   0.519951
2183.454227   0.502254
2186.650825   0.485152
2189.847424   0.468670
2193.044022   0.452818
2196.240620   0.437597
2199.437219   0.423016
2202.633817   0.409062
2205.830415   0.395735
2209.027014   0.383023
2212.223612   0.370911
2215.420210   0.359392
2218.616808   0.348441
2221.813407   0.338049
2225.010005   0.328195
2228.206603   0.318860
2231.403202   0.310031
2234.599800   0.301684
2237.796398   0.293805
2240.992996   0.286376
2244.189595   0.279376
2247.386193   0.272797
2250.582791   0.266613
2253.779390   0.260816
2256.975988   0.255391
2260.172586   0.250319
2263.369185   0.245595
2266.565783   0.241200
2269.762381   0.237127
2272.958979   0.233364
2276.155578   0.229900
2279.352176   0.226732
2282.548774   0.223845
2285.745373   0.221237
2288.941971   0.218900
2292.138569   0.216826
2295.335168   0.215017
2298.531766   0.213462
2301.728364   0.212163
2304.924962   0.211118
2308.121561   0.210321
2311.318159   0.209779
2314.514757   0.209485
2317.711356   0.209446
2320.907954   0.209662
2324.104552   0.210136
2327.301151   0.210876
2330.497749   0.211882
2333.694347   0.213165
2336.890945   0.214731
2340.087544   0.216588
2343.284142   0.218749
2346.480740   0.221222
2349.677339   0.224023
2352.873937   0.227165
2356.070535   0.230663
2359.267134   0.234540
2362.463732   0.238809
2365.660330   0.243496
2368.856928   0.248625
2372.053527   0.254218
2375.250125   0.260309
2378.446723   0.266923
2381.643322   0.274098
2384.839920   0.281869
2388.036518   0.290272
2391.233117   0.299353
2394.429715   0.309150
2397.626313   0.319715
2400.822911   0.331096
2404.019510   0.343340
2407.216108   0.356508
2410.412706   0.370644
2413.609305   0.385809
2416.805903   0.402053
2420.002501   0.419422
2423.199100   0.437969
2426.395698   0.457722
2429.592296   0.478714
2432.788894   0.500958
2435.985493   0.524445
2439.182091   0.549157
2442.378689   0.575029
2445.575288   0.601983
2448.771886   0.629893
2451.968484   0.658592
2455.165083   0.687880
2458.361681   0.717495
2461.558279   0.747150
2464.754877   0.776510
2467.951476   0.805212
2471.148074   0.832888
2474.344672   0.859150
2477.541271   0.883652
2480.737869   0.906067
2483.934467   0.926135
2487.131066   0.943670
2490.327664   0.958556
2493.524262   0.970789
2496.720860   0.980434
2499.917459   0.987651
2503.114057   0.992672
2506.310655   0.995771
2509.507254   0.997284
2512.703852   0.997546
2515.900450   0.996911
2519.097049   0.995721
2522.293647   0.994282
2525.490245   0.992888
2528.686843   0.991762
2531.883442   0.991091
2535.080040   0.990991
2538.276638   0.991498
2541.473237   0.992574
2544.669835   0.994058
2547.866433   0.995688
2551.063032   0.997050
2554.259630   0.997572
2557.456228   0.996522
2560.652826   0.992977
2563.849425   0.985885
2567.046023   0.974081
2570.242621   0.956405
2573.439220   0.931841
2576.635818   0.899668
2579.832416   0.859668
2583.029015   0.812210
2586.225613   0.758325
2589.422211   0.699605
2592.618809   0.638003
2595.815408   0.575608
2599.012006   0.514353
2602.208604   0.455857
2605.405203   0.401300
2608.601801   0.351412
2611.798399   0.306534
2614.994997   0.266675
2618.191596   0.231636
2621.388194   0.201066
2624.584792   0.174542
2627.781391   0.151621
2630.977989   0.131859
2634.174587   0.114847
2637.371186   0.100208
2640.567784   0.087606
2643.764382   0.076753
2646.960980   0.067392
2650.157579   0.059308
2653.354177   0.052312
2656.550775   0.046248
2659.747374   0.040980
2662.943972   0.036394
2666.140570   0.032394
2669.337169   0.028896
2672.533767   0.025830
2675.730365   0.023139
2678.926963   0.020769
2682.123562   0.018680
2685.320160   0.016833
2688.516758   0.015196
2691.713357   0.013745
2694.909955   0.012453
2698.106553   0.011303
2701.303152   0.010276
2704.499750   0.009357
2707.696348   0.008534
2710.892946   0.007795
2714.089545   0.007131
2717.286143   0.006533
2720.482741   0.005994
2723.679340   0.005507
2726.875938   0.005065
2730.072536   0.004666
2733.269135   0.004303
2736.465733   0.003974
2739.662331   0.003674
2742.858929   0.003401
2746.055528   0.003151
2749.252126   0.002924
2752.448724   0.002715
2755.645323   0.002525
2758.841921   0.002349
2762.038519   0.002189
2765.235118   0.002041
2768.431716   0.001905
2771.628314   0.001781
2774.824912   0.001665
2778.021511   0.001559
2781.218109   0.001461
2784.414707   0.001370
2787.611306   0.001286
2790.807904   0.001208
2794.004502   0.001135
2797.201101   0.001068
2800.397699   0.001006
2803.594297   0.000948
2806.790895   0.000894
2809.987494   0.000844
2813.184092   0.000797
2816.380690   0.000753
2819.577289   0.000713
2822.773887   0.000675
2825.970485   0.000639
2829.167084   0.000606
2832.363682   0.000575
2835.560280   0.000545
2838.756878   0.000518
2841.953477   0.000492
2845.150075   0.000468
2848.346673   0.000446
2851.543272   0.000424
2854.739870   0.000404
2857.936468   0.000385
2861.133067   0.000368
2864.329665   0.000351
2867.526263   0.000335
2870.722861   0.000320
2873.919460   0.000306
2877.116058   0.000293
2880.312656   0.000280
2883.509255   0.000269
2886.705853   0.000257
2889.902451   0.000247
2893.099050   0.000237
2896.295648   0.000227
2899.492246   0.000218
2902.688844   0.000210
2905.885443   0.000201
2909.082041   0.000194
2912.278639   0.000186
2915.475238   0.000179
2918.671836   0.000173
2921.868434   0.000166
2925.065033   0.000161
2928.261631   0.000155
2931.458229   0.000149
2934.654827   0.000144
2937.851426   0.000139
2941.048024   0.000135
2944.244622   0.000130
2947.441221   0.000126
2950.637819   0.000122
2953.834417   0.000118
2957.031016   0.000114
2960.227614   0.000111
2963.424212   0.000107
2966.620810   0.000104
2969.817409   0.000101
2973.014007   0.000098
2976.210605   0.000095
2979.407204   0.000092
2982.603802   0.000090
2985.800400   0.000087
2988.996998   0.000085
2992.193597   0.000082
2995.390195   0.000080
2998.586793   0.000078
3001.783392   0.000076
3004.979990   0.000074
3008.176588   0.000072
3011.373187   0.000071
3014.569785   0.000069
3017.766383   0.000067
3020.962981   0.000066
3024.159580   0.000064
3027.356178   0.000063
3030.552776   0.000061
3033.749375   0.000060
3036.945973   0.000059
3040.142571   0.000057
3043.339170   0.000056
3046.535768   0.000055
3049.732366   0.000054
3052.928964   0.000053
3056.125563   0.000052
3059.322161   0.000051
3062.518759   0.000050
3065.715358   0.000049
3068.911956   0.000048
3072.108554   0.000047
3075.305153   0.000046
3078.501751   0.000046
3081.698349   0.000045
3084.894947   0.000044
3088.091546   0.000043
3091.288144   0.000043
