# Time(a.u.)  Energy(a.u.)  mu_x(a.u.)  mu_y(a.u.)  mu_z(a.u.)
3.2000000000E+00 -9.1675125149E+01 2.4796888727E-05 2.4796888673E-05 9.6509912216E-01
3.2400000000E+00 -9.1675125148E+01 2.4110937191E-05 2.4110937136E-05 9.6509579678E-01
3.2800000000E+00 -9.1675125148E+01 2.3534504946E-05 2.3534504890E-05 9.6509237816E-01
3.3200000000E+00 -9.1675125148E+01 2.3045087197E-05 2.3045087140E-05 9.6508880957E-01
3.3600000000E+00 -9.1675125148E+01 2.2595142154E-05 2.2595142096E-05 9.6508507043E-01
3.4000000000E+00 -9.1675125148E+01 2.2129981022E-05 2.2129980963E-05 9.6508117717E-01
3.4400000000E+00 -9.1675125148E+01 2.1605907796E-05 2.1605907735E-05 9.6507717373E-01
3.4800000000E+00 -9.1675125148E+01 2.1002463083E-05 2.1002463021E-05 9.6507311625E-01
3.5200000000E+00 -9.1675125148E+01 2.0325075602E-05 2.0325075539E-05 9.6506905740E-01
3.5600000000E+00 -9.1675125148E+01 1.9598063293E-05 1.9598063228E-05 9.6506503505E-01
3.6000000000E+00 -9.1675125148E+01 1.8851423725E-05 1.8851423659E-05 9.6506106770E-01
3.6400000000E+00 -9.1675125148E+01 1.8106960645E-05 1.8106960578E-05 9.6505715618E-01
3.6800000000E+00 -9.1675125148E+01 1.7369282408E-05 1.7369282341E-05 9.6505328922E-01
3.7200000000E+00 -9.1675125148E+01 1.6625127769E-05 1.6625127701E-05 9.6504944965E-01
3.7600000000E+00 -9.1675125148E+01 1.5851124615E-05 1.5851124546E-05 9.6504561865E-01
3.8000000000E+00 -9.1675125148E+01 1.5026724369E-05 1.5026724299E-05 9.6504177735E-01
3.8400000000E+00 -9.1675125148E+01 1.4146935602E-05 1.4146935531E-05 9.6503790638E-01
3.8800000000E+00 -9.1675125148E+01 1.3229405770E-05 1.3229405698E-05 9.6503398567E-01
3.9200000000E+00 -9.1675125148E+01 1.2312422947E-05 1.2312422873E-05 9.6502999597E-01
3.9600000000E+00 -9.1675125148E+01 1.1443811388E-05 1.1443811313E-05 9.6502592312E-01
4.0000000000E+00 -9.1675125148E+01 1.0664240021E-05 1.0664239944E-05 9.6502176390E-01
4.0400000000E+00 -9.1675125148E+01 9.9908405717E-06 9.9908404943E-06 9.6501753122E-01
4.0800000000E+00 -9.1675125148E+01 9.4073292767E-06 9.4073291983E-06 9.6501325600E-01
4.1200000000E+00 -9.1675125148E+01 8.8648636287E-06 8.8648635492E-06 9.6500898376E-01
4.1600000000E+00 -9.1675125148E+01 8.2942744001E-06 8.2942743196E-06 9.6500476580E-01
4.2000000000E+00 -9.1675125148E+01 7.6263233657E-06 7.6263232843E-06 9.6500064695E-01
4.2400000000E+00 -9.1675125148E+01 6.8136510665E-06 6.8136509841E-06 9.6499665333E-01
4.2800000000E+00 -9.1675125148E+01 5.8471777057E-06 5.8471776223E-06 9.6499278421E-01
4.3200000000E+00 -9.1675125148E+01 4.7612775151E-06 4.7612774307E-06 9.6498901083E-01
4.3600000000E+00 -9.1675125148E+01 3.6255869648E-06 3.6255868795E-06 9.6498528318E-01
4.4000000000E+00 -9.1675125148E+01 2.5256591140E-06 2.5256590277E-06 9.6498154319E-01
4.4400000000E+00 -9.1675125148E+01 1.5383726205E-06 1.5383725334E-06 9.6497774082E-01
4.4800000000E+00 -9.1675125148E+01 7.0978515465E-07 7.0978506663E-07 9.6497384840E-01
4.5200000000E+00 -9.1675125148E+01 4.2371921086E-08 4.2371832181E-08 9.6496986920E-01
4.5600000000E+00 -9.1675125148E+01 -5.0444600750E-07 -5.0444609731E-07 9.6496583785E-01
4.6000000000E+00 -9.1675125148E+01 -1.0008819094E-06 -1.0008820002E-06 9.6496181265E-01
4.6400000000E+00 -9.1675125148E+01 -1.5249943369E-06 -1.5249944286E-06 9.6495786181E-01
4.6800000000E+00 -9.1675125148E+01 -2.1396193693E-06 -2.1396194620E-06 9.6495404773E-01
4.7200000000E+00 -9.1675125148E+01 -2.8752929261E-06 -2.8752930198E-06 9.6495041316E-01
4.7600000000E+00 -9.1675125148E+01 -3.7242068833E-06 -3.7242069779E-06 9.6494697279E-01
4.8000000000E+00 -9.1675125148E+01 -4.6464195588E-06 -4.6464196541E-06 9.6494371188E-01
4.8400000000E+00 -9.1675125148E+01 -5.5854548867E-06 -5.5854549828E-06 9.6494059193E-01
4.8800000000E+00 -9.1675125148E+01 -6.4874724071E-06 -6.4874725038E-06 9.6493756146E-01
4.9200000000E+00 -9.1675125149E+01 -7.3173468140E-06 -7.3173469113E-06 9.6493456909E-01
4.9600000000E+00 -9.1675125149E+01 -8.0664822039E-06 -8.0664823018E-06 9.6493157587E-01
5.0000000000E+00 -9.1675125149E+01 -8.7504056695E-06 -8.7504057679E-06 9.6492856418E-01
5.0400000000E+00 -9.1675125149E+01 -9.3979467940E-06 -9.3979468930E-06 9.6492554154E-01
5.0800000000E+00 -9.1675125149E+01 -1.0036759031E-05 -1.0036759131E-05 9.6492253895E-01
5.1200000000E+00 -9.1675125149E+01 -1.0681039572E-05 -1.0681039672E-05 9.6491960415E-01
5.1600000000E+00 -9.1675125149E+01 -1.1326202927E-05 -1.1326203028E-05 9.6491679166E-01
5.2000000000E+00 -9.1675125149E+01 -1.1952408106E-05 -1.1952408208E-05 9.6491415155E-01
5.2400000000E+00 -9.1675125149E+01 -1.2535310371E-05 -1.2535310473E-05 9.6491171944E-01
5.2800000000E+00 -9.1675125149E+01 -1.3059524510E-05 -1.3059524613E-05 9.6490950972E-01
5.3200000000E+00 -9.1675125149E+01 -1.3529125688E-05 -1.3529125792E-05 9.6490751349E-01
5.3600000000E+00 -9.1675125149E+01 -1.3970522865E-05 -1.3970522969E-05 9.6490570154E-01
5.4000000000E+00 -9.1675125149E+01 -1.4425869552E-05 -1.4425869656E-05 9.6490403183E-01
5.4400000000E+00 -9.1675125149E+01 -1.4938804066E-05 -1.4938804171E-05 9.6490245954E-01
5.4800000000E+00 -9.1675125149E+01 -1.5537404773E-05 -1.5537404878E-05 9.6490094742E-01
5.5200000000E+00 -9.1675125149E+01 -1.6220643332E-05 -1.6220643437E-05 9.6489947397E-01
5.5600000000E+00 -9.1675125149E+01 -1.6953752055E-05 -1.6953752161E-05 9.6489803753E-01
5.6000000000E+00 -9.1675125149E+01 -1.7675028309E-05 -1.7675028415E-05 9.6489665562E-01
5.6400000000E+00 -9.1675125149E+01 -1.8312653359E-05 -1.8312653466E-05 9.6489535992E-01
5.6800000000E+00 -9.1675125149E+01 -1.8806479716E-05 -1.8806479823E-05 9.6489418848E-01
5.7200000000E+00 -9.1675125149E+01 -1.9127733901E-05 -1.9127734008E-05 9.6489317735E-01
5.7600000000E+00 -9.1675125149E+01 -1.9289944804E-05 -1.9289944911E-05 9.6489235358E-01
5.8000000000E+00 -9.1675125149E+01 -1.9347081688E-05 -1.9347081795E-05 9.6489173098E-01
5.8400000000E+00 -9.1675125149E+01 -1.9379005022E-05 -1.9379005130E-05 9.6489130907E-01
5.8800000000E+00 -9.1675125149E+01 -1.9468517649E-05 -1.9468517757E-05 9.6489107448E-01
5.9200000000E+00 -9.1675125149E+01 -1.9677131582E-05 -1.9677131690E-05 9.6489100409E-01
5.9600000000E+00 -9.1675125149E+01 -2.0027164962E-05 -2.0027165070E-05 9.6489106863E-01
6.0000000000E+00 -9.1675125149E+01 -2.0495769867E-05 -2.0495769975E-05 9.6489123638E-01
6.0400000000E+00 -9.1675125149E+01 -2.1022634537E-05 -2.1022634645E-05 9.6489147683E-01
6.0800000000E+00 -9.1675125149E+01 -2.1528698412E-05 -2.1528698520E-05 9.6489176454E-01
6.1200000000E+00 -9.1675125149E+01 -2.1939741366E-05 -2.1939741474E-05 9.6489208346E-01
6.1600000000E+00 -9.1675125149E+01 -2.2207310564E-05 -2.2207310671E-05 9.6489243099E-01
6.2000000000E+00 -9.1675125149E+01 -2.2320563410E-05 -2.2320563517E-05 9.6489282082E-01
6.2400000000E+00 -9.1675125149E+01 -2.2305807642E-05 -2.2305807749E-05 9.6489328295E-01
6.2800000000E+00 -9.1675125149E+01 -2.2214681181E-05 -2.2214681288E-05 9.6489385952E-01
6.3200000000E+00 -9.1675125149E+01 -2.2105600472E-05 -2.2105600578E-05 9.6489459623E-01
6.3600000000E+00 -9.1675125149E+01 -2.2025076172E-05 -2.2025076279E-05 9.6489553062E-01
6.4000000000E+00 -9.1675125149E+01 -2.1995128920E-05 -2.1995129026E-05 9.6489668012E-01
6.4400000000E+00 -9.1675125149E+01 -2.2010540215E-05 -2.2010540321E-05 9.6489803353E-01
